period,msn,Item,seriesDescription,value,unit
1990,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68490.245,Trillion Btu
1991,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68154.712,Trillion Btu
1992,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68025.635,Trillion Btu
1993,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,66198.081,Trillion Btu
1994,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68752.384,Trillion Btu
1995,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68866.415,Trillion Btu
1996,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,69904.326,Trillion Btu
1997,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,69869.338,Trillion Btu
1998,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,70507.865,Trillion Btu
1999,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,69372.654,Trillion Btu
2000,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,69261.956,Trillion Btu
2001,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,70027.35,Trillion Btu
2002,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68693.081,Trillion Btu
2003,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,67856.392,Trillion Btu
2004,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68200.265,Trillion Btu
2005,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,67376.27,Trillion Btu
2006,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,68520.98,Trillion Btu
2007,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,69409.818,Trillion Btu
2008,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,71037.906,Trillion Btu
2009,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,70275.915,Trillion Btu
2010,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,72536.302,Trillion Btu
2011,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,75202.198,Trillion Btu
2012,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,76546.535,Trillion Btu
2013,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,78984.738,Trillion Btu
2014,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,84769.454,Trillion Btu
2015,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,85347.115,Trillion Btu
2016,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,81047.695,Trillion Btu
2017,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,84402.769,Trillion Btu
2018,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,91971.514,Trillion Btu
2019,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,97601.38,Trillion Btu
2020,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,91860.129,Trillion Btu
2021,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,93926.359,Trillion Btu
2022,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,98609.976,Trillion Btu
2023,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,102719.202,Trillion Btu
2024,TEPRBUS,TotPrimEnergy_1Production,Total Primary Energy Production in Trillion Btu,103304.459,Trillion Btu
1949,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,30866.419,Trillion Btu
1950,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,33527.374,Trillion Btu
1951,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,35885.997,Trillion Btu
1952,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,35634.55,Trillion Btu
1953,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,36601.753,Trillion Btu
1954,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,35634.683,Trillion Btu
1955,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,39215.038,Trillion Btu
1956,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,40714.353,Trillion Btu
1957,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,40693.313,Trillion Btu
1958,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,40507.326,Trillion Btu
1959,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,42356.119,Trillion Btu
1960,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,43942.401,Trillion Btu
1961,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,44564.329,Trillion Btu
1962,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,46545.105,Trillion Btu
1963,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,48392.685,Trillion Btu
1964,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,50482.863,Trillion Btu
1965,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,52564.923,Trillion Btu
1966,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,55561.695,Trillion Btu
1967,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,57313.46,Trillion Btu
1968,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,60820.485,Trillion Btu
1969,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,63808.785,Trillion Btu
1970,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,66035.827,Trillion Btu
1971,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,67351.891,Trillion Btu
1972,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,70727.518,Trillion Btu
1973,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,73716.886,Trillion Btu
1974,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,71773.471,Trillion Btu
1975,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,69788.058,Trillion Btu
1976,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,73916.575,Trillion Btu
1977,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,76324.499,Trillion Btu
1978,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,77916.212,Trillion Btu
1979,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,78819.964,Trillion Btu
1980,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,76038.149,Trillion Btu
1981,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,74159.42,Trillion Btu
1982,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,70812.347,Trillion Btu
1983,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,70488.946,Trillion Btu
1984,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,74236.954,Trillion Btu
1985,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,74268.292,Trillion Btu
1986,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,74458.221,Trillion Btu
1987,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,77160.838,Trillion Btu
1988,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,81025.097,Trillion Btu
1989,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,82711.472,Trillion Btu
1990,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,82255.545,Trillion Btu
1991,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,82213.947,Trillion Btu
1992,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,83836.077,Trillion Btu
1993,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,85191.29,Trillion Btu
1994,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,87052.554,Trillion Btu
1995,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,88667.979,Trillion Btu
1996,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,91403.616,Trillion Btu
1997,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,91956.252,Trillion Btu
1998,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,92601.594,Trillion Btu
1999,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94231.538,Trillion Btu
2000,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,96693.59,Trillion Btu
2001,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94415.713,Trillion Btu
2002,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,95575.431,Trillion Btu
2003,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,95806.493,Trillion Btu
2004,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,98033.168,Trillion Btu
2005,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,98100.924,Trillion Btu
2006,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,97234.944,Trillion Btu
2007,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,98965.112,Trillion Btu
2008,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,96646.728,Trillion Btu
2009,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,91626.429,Trillion Btu
2010,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,95141.804,Trillion Btu
2011,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,93966.459,Trillion Btu
2012,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,91677.322,Trillion Btu
2013,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94253.199,Trillion Btu
2014,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,95331.976,Trillion Btu
2015,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94477.752,Trillion Btu
2016,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94082.784,Trillion Btu
2017,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,93886.007,Trillion Btu
2018,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,97396.35,Trillion Btu
2019,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,96595.282,Trillion Btu
2020,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,88870.945,Trillion Btu
2021,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,93363.948,Trillion Btu
2022,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94838.36,Trillion Btu
2023,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,93619.49,Trillion Btu
2024,TETCBUS,TotPrimEnergy_2Consumed,Primary Energy Consumption Total in Trillion Btu,94224.015,Trillion Btu
1949,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,28438.47,Trillion Btu
1950,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,30861.148,Trillion Btu
1951,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,32962.26,Trillion Btu
1952,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,32557.181,Trillion Btu
1953,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,33220.626,Trillion Btu
1954,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,32240.87,Trillion Btu
1955,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,35384.665,Trillion Btu
1956,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,36617.738,Trillion Btu
1957,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,36462.844,Trillion Btu
1958,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,36391.4,Trillion Btu
1959,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,37810.42,Trillion Btu
1960,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,39204.006,Trillion Btu
1961,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,39678.264,Trillion Btu
1962,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,41376.372,Trillion Btu
1963,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,42781.615,Trillion Btu
1964,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,44476.782,Trillion Btu
1965,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,46173.135,Trillion Btu
1966,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,48476.351,Trillion Btu
1967,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,49926.936,Trillion Btu
1968,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,52599.951,Trillion Btu
1969,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,54889.022,Trillion Btu
1970,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,56290.921,Trillion Btu
1971,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,57134.098,Trillion Btu
1972,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,59629.732,Trillion Btu
1973,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,61735.405,Trillion Btu
1974,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,59815.233,Trillion Btu
1975,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,57599.483,Trillion Btu
1976,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,60766.356,Trillion Btu
1977,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,61987.811,Trillion Btu
1978,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,63215.95,Trillion Btu
1979,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,63911.023,Trillion Btu
1980,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,60877.537,Trillion Btu
1981,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,58933.767,Trillion Btu
1982,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,56159.544,Trillion Btu
1983,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,55615.72,Trillion Btu
1984,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,58710.657,Trillion Btu
1985,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,58214.406,Trillion Btu
1986,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,58429.393,Trillion Btu
1987,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,60386.105,Trillion Btu
1988,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,63204.384,Trillion Btu
1989,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,63889.851,Trillion Btu
1990,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,63165.428,Trillion Btu
1991,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,62927.62,Trillion Btu
1992,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,64410.049,Trillion Btu
1993,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,65155.795,Trillion Btu
1994,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,66561.65,Trillion Btu
1995,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,67693.568,Trillion Btu
1996,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,69985.136,Trillion Btu
1997,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,70308.668,Trillion Btu
1998,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,69799.455,Trillion Btu
1999,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,70831.052,Trillion Btu
2000,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72283.84,Trillion Btu
2001,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,70413.352,Trillion Btu
2002,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,71311.243,Trillion Btu
2003,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,71698.174,Trillion Btu
2004,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,73387.129,Trillion Btu
2005,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72943.506,Trillion Btu
2006,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72474.296,Trillion Btu
2007,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,73352.634,Trillion Btu
2008,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,71505.472,Trillion Btu
2009,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,68123.434,Trillion Btu
2010,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,70671.805,Trillion Btu
2011,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,70327.042,Trillion Btu
2012,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,68801.381,Trillion Btu
2013,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,71409.985,Trillion Btu
2014,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72424.846,Trillion Btu
2015,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72239.345,Trillion Btu
2016,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72366.878,Trillion Btu
2017,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,72953.531,Trillion Btu
2018,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,76057.206,Trillion Btu
2019,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,76250.496,Trillion Btu
2020,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,69829.851,Trillion Btu
2021,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,73790.979,Trillion Btu
2022,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,75188.071,Trillion Btu
2023,TNTCBUS,TotEnergy_2EndUse,End-Use Energy Consumed by the End-Use Sectors in Trillion Btu,74710.513,Trillion Btu
